site_id,lon,lat,vs30,z1p0,z2p5,vs30_source
0,-120.15,36.55,228.2,0.0,6.6,0.0
1,-120.15,36.55,228.2,0.0,6.6,0.0
2,-121.55,37.7,468.4,0.346666687,3.406666504,0.0
3,-121.6,37.1,293.5,0.0,1.5,0.0
4,-122.25,39.3,228.2,0.35,3.506666504,0.0
5,-121.6,39.1,293.5,0.411891907,1.008636414,0.0
6,-121.65,39.05,293.5,0.506666687,1.407577637,0.0
7,-121.65,39.05,293.5,0.506666687,1.407577637,0.0
8,-124.2,40.75,351.9,0.019047165,0.904,0.0
9,-122.2,39.75,228.2,0.574,3.42,0.0
10,-121.9,39.15,228.2,0.608,2.803606445,0.0
11,-121.95,39.15,228.2,0.318235291,3.102301025,0.0
12,-122.75,38.35,228.2,0.58,1.076901367,0.0
13,-119.95,36.85,386.6,0.0,7.95,0.0
14,-120.05,36.85,386.6,0.0,8.05,0.0
15,-120.1,36.8,386.6,0.0,8.15,0.0
16,-120.25,36.8,293.5,0.0,3.0,0.0
17,-120.3,36.8,228.2,0.0,2.5,0.0
18,-120.4,36.75,228.2,0.0,3.55,0.0
19,-120.45,36.8,228.2,0.0,3.25,0.0
20,-118.85,35.35,386.6,0.0,2.15,0.0
21,-118.8,35.3,351.9,0.0,1.6,0.0
22,-121.55,39.0,386.6,0.412105255,1.008636414,0.0
23,-121.4,38.6,386.6,0.601428589,1.507341797,0.0
24,-121.45,38.65,228.2,0.601904785,1.806666748,0.0
25,-121.7,40.85,518.9,518.9,518.9,0.0
26,-124.2,40.65,444.0,0.0,0.87,0.0
27,-124.15,40.65,468.4,0.0,0.87125,0.0
28,-124.15,40.65,468.4,0.0,0.87125,0.0
29,-121.5,41.05,228.2,228.2,228.2,0.0
30,-122.0,39.75,228.2,0.642,2.504496094,0.0
31,-122.1,39.55,228.2,0.331666687,3.506666504,0.0
32,-122.05,39.5,228.2,0.624,3.51,0.0
33,-122.0,39.45,293.5,0.626,2.903050781,0.0
34,-121.6,39.2,386.6,0.317714294,0.809949707,0.0
35,-121.6,39.25,386.6,0.337647064,0.730476196,0.0
36,-122.1,39.1,228.2,0.526,3.51,0.0
37,-121.75,39.15,228.2,0.5065,1.806666748,0.0
38,-122.5,37.95,733.4,0.057872345,0.855,0.0
39,-121.4,38.4,386.6,0.608,2.105915527,0.0
40,-121.25,37.85,386.6,0.608,3.513333496,0.0
41,-122.15,38.05,176.1,0.404042542,0.855,0.0
42,-121.4,38.1,386.6,0.61,3.513333496,0.0
43,-121.4,38.15,386.6,0.61,3.400952393,0.0
44,-121.45,38.1,386.6,0.61,3.513333496,0.0
45,-121.4,38.1,386.6,0.61,3.513333496,0.0
46,-121.35,38.0,386.6,0.61,3.513333496,0.0
47,-121.3,37.95,386.6,0.61,3.50039209,0.0
48,-121.25,37.9,386.6,0.608,3.50039209,0.0
